,Gini
0,0.0
1,0.3238
2,0.5128
3,0.546
4,0.5760000000000001
5,0.5828
6,0.604
7,0.606
8,0.6472
9,0.6334
10,0.5922000000000001
11,0.5894
12,0.556
13,0.569
14,0.5654
15,0.5776
16,0.6013999999999999
17,0.6262000000000001
18,0.6506000000000001
19,0.6477999999999999
20,0.6668000000000001
21,0.6712
22,0.6918
23,0.6896
24,0.6898
25,0.679
26,0.6688000000000001
27,0.6724
28,0.6728000000000001
29,0.7066
30,0.6950000000000001
31,0.708
32,0.6822
33,0.7018
34,0.6676
35,0.6302
36,0.6076
37,0.6352
38,0.622
39,0.6392
40,0.6517999999999999
41,0.6512
42,0.6494
43,0.6679999999999999
44,0.6352
45,0.641
46,0.6308
47,0.6606000000000001
48,0.6759999999999999
49,0.6576
50,0.666
51,0.6394
52,0.654
53,0.6584
54,0.6634
55,0.6724
56,0.6784
57,0.6384000000000001
58,0.6504000000000001
59,0.6496
60,0.6696
61,0.675
62,0.662
63,0.6456
64,0.6792
65,0.657
66,0.666
67,0.6872
68,0.6818
69,0.681
70,0.6582
71,0.626
72,0.62
73,0.6894
74,0.6862
75,0.6934
76,0.6814
77,0.6742
78,0.638
79,0.6586000000000001
80,0.6355999999999999
81,0.6368
82,0.6616
83,0.6448
84,0.65
85,0.6434
86,0.6278
87,0.6426000000000001
88,0.6722
89,0.646
90,0.6566000000000001
91,0.6437999999999999
92,0.6378
93,0.6497999999999999
94,0.6434
95,0.644
96,0.6318
97,0.6335999999999999
98,0.6058
99,0.641
