,Gini
0,0.0
1,0.4182
2,0.5094
3,0.525
4,0.5156000000000001
5,0.5660000000000001
6,0.5734
7,0.5758000000000001
8,0.5806
9,0.5932
10,0.5796
11,0.6522
12,0.6504000000000001
13,0.625
14,0.6226
15,0.6294
16,0.6574
17,0.6318
18,0.6226
19,0.6068
20,0.6476
21,0.642
22,0.6404000000000001
23,0.642
24,0.6358
25,0.6414
26,0.6486000000000001
27,0.6648000000000001
28,0.655
29,0.6328
30,0.6456
31,0.6457999999999999
32,0.6526000000000001
33,0.66
34,0.6577999999999999
35,0.6204000000000001
36,0.6338
37,0.6386000000000001
38,0.6082000000000001
39,0.5874
40,0.621
41,0.6342
42,0.646
43,0.6374
44,0.6457999999999999
45,0.637
46,0.6504000000000001
47,0.6930000000000001
48,0.6824
49,0.6782
50,0.6494
51,0.6748000000000001
52,0.6776
53,0.6864
54,0.6912
55,0.6712
56,0.6352
57,0.634
58,0.5912
59,0.593
60,0.5876
61,0.5866
62,0.587
63,0.6096
64,0.6302
65,0.6178
66,0.6073999999999999
67,0.5876
68,0.617
69,0.6238
70,0.6358
71,0.653
72,0.615
73,0.631
74,0.6255999999999999
75,0.6266
76,0.6206
77,0.6644
78,0.6656
79,0.6506000000000001
80,0.6488
81,0.646
82,0.6714
83,0.6402
84,0.6636
85,0.6536
86,0.652
87,0.6652
88,0.6494
89,0.663
90,0.6517999999999999
91,0.6422
92,0.6668000000000001
93,0.6572
94,0.6376
95,0.6368
96,0.6166
97,0.6476
98,0.6454
99,0.656
